,symbol,update_date,querter_sales,profit,operating,real_profit,sales,shared,next_update_date
252,BAX,210331.0,2946.0,1165.0,390.0,298.0,11820000000.0,502851993.0,211026.0
253,BAX,201231.0,3181.0,1219.0,250.0,168.0,11820000000.0,502851993.0,211026.0
254,BAX,200930.0,2972.0,1200.0,470.0,356.0,11820000000.0,502851993.0,211026.0
255,BAX,200630.0,2718.0,1045.0,331.0,246.0,11820000000.0,502851993.0,211026.0
256,BDX,210331.0,4907.0,2246.0,414.0,299.0,18860000000.0,290818504.0,211108.0
257,BDX,201231.0,5315.0,2732.0,1230.0,1003.0,18860000000.0,290818504.0,211108.0
258,BDX,200930.0,4784.0,2265.0,255.0,128.0,18860000000.0,290818504.0,211108.0
259,BDX,200630.0,3855.0,1660.0,358.0,286.0,18860000000.0,290818504.0,211108.0
260,BRKB,210331.0,64599.0,14630.0,8577.0,11711.0,248840000000.0,1526793.0,211028.0
261,BRKB,201231.0,64381.0,13604.0,5656.0,35835.0,248840000000.0,1526793.0,211028.0
262,BRKB,200930.0,63024.0,13745.0,6058.0,30137.0,248840000000.0,1526793.0,211028.0
263,BRKB,200630.0,56840.0,12961.0,-4419.0,26295.0,248840000000.0,1526793.0,211028.0
264,BBY,210501.0,11637.0,2721.0,769.0,595.0,50340000000.0,250472993.0,210830.0
265,BBY,210130.0,16937.0,3530.0,1033.0,816.0,50340000000.0,250472993.0,210830.0
266,BBY,201031.0,11853.0,2831.0,561.0,391.0,50340000000.0,250472993.0,210830.0
267,BBY,200801.0,9910.0,2270.0,568.0,432.0,50340000000.0,250472993.0,210830.0
268,BIO,210331.0,726.8,400.63,100.06,977.41,2700000000.0,29763614.0,211103.0
269,BIO,201231.0,789.84,460.15,175.24,839.1,2700000000.0,29763614.0,211103.0
270,BIO,200930.0,647.26,367.31,109.6,1314.82,2700000000.0,29763614.0,211103.0
271,BIO,200630.0,536.88,292.99,58.84,966.43,2700000000.0,29763614.0,211103.0
272,BIIB,210331.0,2694.0,2215.9,973.9,410.2,12600000000.0,150554750.0,211025.0
273,BIIB,201231.0,2852.6,2362.0,-330.6,357.9,12600000000.0,150554750.0,211025.0
274,BIIB,200930.0,3376.1,2927.0,1086.4,701.5,12600000000.0,150554750.0,211025.0
275,BIIB,200630.0,3681.6,3270.5,1974.5,1542.1,12600000000.0,150554750.0,211025.0
276,BLK,210331.0,4398.0,3573.0,1545.0,1199.0,16890000000.0,152526401.0,211018.0
277,BLK,201231.0,4478.0,3690.0,1848.0,1548.0,16890000000.0,152526401.0,211018.0
278,BLK,200930.0,4369.0,3656.0,1757.0,1364.0,16890000000.0,152526401.0,211018.0
279,BLK,200630.0,3648.0,2973.0,1406.0,1214.0,16890000000.0,152526401.0,211018.0
280,BA,210331.0,15217.0,1409.0,-83.0,-537.0,56970000000.0,584810068.0,211026.0
281,BA,201231.0,15802.0,-5190.0,-8049.0,-8420.0,56970000000.0,584810068.0,211026.0
282,BA,200930.0,14139.0,1034.0,-401.0,-449.0,56970000000.0,584810068.0,211026.0
283,BA,200630.0,11807.0,-1171.0,-2964.0,-2376.0,56970000000.0,584810068.0,211026.0
284,BKNG,210331.0,1141.0,,-311.0,-55.0,5650000000.0,41052813.0,211107.0
285,BKNG,201231.0,1238.0,,-153.0,-165.0,5650000000.0,41052813.0,211107.0
286,BKNG,200930.0,2640.0,,315.0,801.0,5650000000.0,41052813.0,211107.0
287,BKNG,200630.0,630.0,,-484.0,122.0,5650000000.0,41052813.0,211107.0
288,BWA,210331.0,4009.0,818.0,403.0,65.0,11900000000.0,239847758.0,211027.0
289,BWA,201231.0,3926.0,772.0,223.0,358.0,11900000000.0,239847758.0,211027.0
290,BWA,200930.0,2534.0,517.0,284.0,111.0,11900000000.0,239847758.0,211027.0
291,BWA,200630.0,1426.0,174.0,-78.0,-98.0,11900000000.0,239847758.0,211027.0
292,BXP,210331.0,713.7,450.75,228.0,100.6,3480000000.0,156074252.0,211101.0
293,BXP,201231.0,665.09,404.71,205.37,10.31,3480000000.0,156074252.0,211101.0
294,BXP,200930.0,693.27,428.95,234.32,92.48,3480000000.0,156074252.0,211101.0
295,BXP,200630.0,1407.33,890.06,465.63,769.94,3480000000.0,156074252.0,211101.0
