symbol,update_date,sales,profit,operating,real_profit
CSCO,200725.0,12154.0,7684.0,3247.0,2636.0
C,210331.0,21695.0,,,7942.0
C,201231.0,19062.0,,,3979.0
C,200930.0,20119.0,,,3230.0
C,200630.0,23283.0,,,1316.0
CFG,210331.0,1758.0,,,611.0
CFG,201231.0,1827.0,,,456.0
CFG,200930.0,1934.0,,,314.0
CFG,200630.0,1940.0,,,253.0
CTXS,210331.0,775.77,632.3,92.33,90.05
CTXS,201231.0,809.66,676.21,135.28,112.09
CTXS,200930.0,767.17,639.88,128.31,98.23
CTXS,200630.0,798.93,676.69,143.67,112.91
CLX,210331.0,1781.0,774.0,-59.0,-61.0
CLX,201231.0,1842.0,837.0,332.0,259.0
CLX,200930.0,1916.0,920.0,526.0,415.0
CLX,200630.0,1983.0,929.0,395.0,310.0
CME,210331.0,1253.3,,725.1,574.4
CME,201231.0,1098.5,,515.0,424.0
CME,200930.0,1080.7,,525.0,411.7
CME,200630.0,1182.3,,637.5,503.3
CMS,210331.0,2083.0,,485.0,349.0
CMS,201231.0,1798.0,,352.0,158.0
CMS,200930.0,1575.0,,369.0,218.0
CMS,200630.0,1443.0,,273.0,136.0
KO,210402.0,9020.0,5515.0,2909.0,2245.0
KO,201231.0,8611.0,5033.0,2096.0,1456.0
KO,200925.0,8652.0,5181.0,2259.0,1737.0
KO,200626.0,7150.0,4137.0,1924.0,1779.0
CTSH,210331.0,4401.0,1637.0,669.0,505.0
CTSH,201231.0,4184.0,1535.0,465.0,316.0
CTSH,200930.0,4243.0,1617.0,603.0,348.0
CTSH,200630.0,4000.0,1410.0,467.0,361.0
CL,210331.0,4344.0,2637.0,1004.0,681.0
CL,201231.0,4324.0,2643.0,969.0,647.0
CL,200930.0,4153.0,2540.0,1018.0,698.0
CL,200630.0,3897.0,2369.0,946.0,635.0
CMCSA,210331.0,27205.0,18286.0,5039.0,3329.0
CMCSA,201231.0,27708.0,18270.0,3918.0,3380.0
CMCSA,200930.0,25532.0,16967.0,4076.0,2019.0
CMCSA,200630.0,23715.0,16898.0,4647.0,2988.0
CMA,210331.0,729.0,,,350.0
CMA,201231.0,754.0,,,215.0
CMA,200930.0,736.0,,,211.0
CMA,200630.0,758.0,,,113.0
CAG,210228.0,2771.1,767.6,462.4,281.4
CAG,201129.0,2995.2,898.4,544.9,378.9
CAG,200830.0,2678.9,820.6,523.7,329.0
CAG,200531.0,3287.9,933.4,363.9,201.4
COP,210331.0,9826.0,4016.0,1529.0,982.0
COP,201231.0,5491.0,1882.0,-1401.0,-772.0
COP,200930.0,4386.0,1584.0,-190.0,-450.0
COP,200630.0,2749.0,572.0,-398.0,260.0
ED,210331.0,3677.0,,688.0,419.0
ED,201231.0,2960.0,,507.0,43.0
ED,200930.0,3333.0,,860.0,493.0
ED,200630.0,2719.0,,479.0,190.0
STZ,210228.0,1953.0,993.7,555.3,382.9
STZ,201130.0,2438.1,1268.2,781.9,1280.9
STZ,200831.0,2260.4,1215.8,838.1,512.1
STZ,200531.0,1963.4,988.3,603.0,-177.9
